method,metric,n_trajectories,resamples,seed,confidence_level,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,q25,q75,iqr
scalar_projected_pva,position_p95_abs_error,120,10000,20272744,0.95,0.07962302454103543,0.045252615433189036,0.12321916901499784,0.020637687154682324,0.019018179854400945,0.02568882175205574,0.0095762733338853,0.036563229128208946,0.02698695579432365
deployed_p_only,total_p99_us,120,10000,20273721,0.95,1015.6982917499998,977.7788092229166,1057.6181615249998,938.8517599999996,927.1830199999999,958.74427,905.2033224999999,973.3318749999999,68.12855249999996
estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,total_p99_us,120,10000,20273722,0.95,1014.9551944166665,977.1318881812498,1055.8184399000002,941.8044,924.1046699999999,954.79804,903.6848474999999,976.3062099999995,72.62136249999958
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,total_p99_us,120,10000,20273723,0.95,1649.9618734166665,1627.8088649499998,1674.6942138395832,1620.8578200000002,1608.1200551250001,1634.0635399999999,1567.3046325,1673.36729,106.06265749999989
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,total_p99_us,120,10000,20273724,0.95,1762.8808847499997,1705.3850937479165,1833.3904045958325,1665.2914449999998,1653.81801,1682.1514206249997,1616.5616375,1730.500797499998,113.93915999999808
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,total_p99_us,120,10000,20273725,0.95,902.0512584999999,863.74580955625,952.1989725479165,861.871645,839.2380350000001,870.47435,827.29357,888.758125,61.464554999999905
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,total_p99_us,120,10000,20273726,0.95,926.3016364166666,903.9579011249999,952.50035086875,898.9626499999999,881.5782599999997,911.960705,859.4374249999998,919.3762825,59.938857500000154
estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,total_p99_us,120,10000,20273727,0.95,1086.8108023333332,1041.7486115374998,1140.8681616916667,998.00375,977.1246900000002,1011.3100000000001,952.9320725,1028.6278125,75.69573999999989
estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,total_p99_us,120,10000,20273728,0.95,1078.43560525,1030.6846178375001,1133.4776819604162,989.91798,968.81508,997.7742499999999,944.8925999999999,1022.5781125000001,77.68551250000019
estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,total_p99_us,120,10000,20273729,0.95,1097.9784944166668,1050.4321788625,1156.6861775437499,1026.99148,1008.0639199999999,1047.19672,985.373565,1059.5408549999997,74.16728999999975
estimator_rank_3::ca_kf_s1e-06_q100::deployed_p_only,total_p99_us,120,10000,20273730,0.95,1008.5488399999999,972.7110631291665,1048.7630584208334,935.1764449999998,920.70418,950.20112,900.3196925,968.4775,68.15780749999999
estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_direct,total_p99_us,120,10000,20273731,0.95,1652.7273788333332,1606.8303566499997,1715.1297782145832,1608.7645000000002,1589.43458,1621.4837499999999,1546.703435,1652.8938999999998,106.1904649999999
estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_ruckig,total_p99_us,120,10000,20273732,0.95,1675.0048247499997,1650.8632322375,1704.74490013125,1654.02059,1640.20675,1664.70263375,1596.175275,1696.12576,99.95048499999984
estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_direct,total_p99_us,120,10000,20273733,0.95,889.3722725,858.8961509666667,929.0657766333331,846.784985,832.2336099999998,871.27,819.6396225,888.4562575,68.81663500000002
estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_ruckig,total_p99_us,120,10000,20273734,0.95,924.3241275833333,897.2326141833335,960.9143104937498,875.660695,868.8368399999999,897.13566,855.39625,921.7345025000003,66.3382525000003
estimator_rank_3::ca_kf_s1e-06_q100::predicted_p,total_p99_us,120,10000,20273735,0.95,1067.5629775833331,1026.3683742624999,1112.1820965395832,985.9832449999999,966.3887100000001,1000.0746,947.91358,1016.3224250000003,68.40884500000027
estimator_rank_3::ca_kf_s1e-06_q100::raw_predicted_pv,total_p99_us,120,10000,20273736,0.95,1084.55274775,1039.77087346875,1134.0726347687503,991.97732,970.26,1008.0889699999999,946.6033375,1037.5233699999997,90.9200324999997
estimator_rank_3::ca_kf_s1e-06_q100::scalar_projected_pva,total_p99_us,120,10000,20273737,0.95,1042.8402429166665,1023.9498555041665,1066.7177989916668,1017.8627249999997,1001.2557771250002,1043.68101,981.7522899999998,1061.3234325,79.57114250000029
jerk_qp_pva_direct,total_p99_us,120,10000,20273738,0.95,1680.6432457499998,1630.7601955041664,1743.7417153270828,1617.9357699999996,1608.9,1630.467,1572.2429899999997,1655.9757,83.73271000000022
jerk_qp_pva_ruckig,total_p99_us,120,10000,20273739,0.95,1653.5130189166666,1636.8023377104169,1671.7296177520832,1646.3256350000001,1625.8745299999996,1657.1452399999998,1595.60898,1679.7247499999999,84.11576999999988
one_step_governed_pva_direct,total_p99_us,120,10000,20273740,0.95,871.5844847499999,850.8876996145833,898.3528833354165,836.190955,828.31125,852.4200000000002,820.0368749999999,880.4136599999999,60.37678500000004
one_step_governed_pva_ruckig,total_p99_us,120,10000,20273741,0.95,936.6605804999999,906.33434325,973.1295432958333,876.7135499999999,867.1520449999998,897.6902649999993,857.0957349999999,914.32697,57.23123500000008
predicted_p,total_p99_us,120,10000,20273742,0.95,1061.0886253333333,1019.4945260791665,1108.5936336624998,976.4863,958.13287,991.63499325,939.306605,1011.21139,71.90478500000006
raw_predicted_pv,total_p99_us,120,10000,20273743,0.95,1053.9704980833333,1015.7438353041666,1096.8118353625,971.5747450000001,956.907138125,996.1126899999999,942.474935,1013.3900349999999,70.91509999999994
scalar_projected_pva,total_p99_us,120,10000,20273744,0.95,1052.2356322499998,1028.1413249645832,1083.7064361229166,1034.916875,1016.39652,1044.36285,986.1539099999999,1058.1315399999999,71.97762999999998
