method,estimator_p_rmse,posterior_lag_s,estimator_p99_us
ca_kf_s0.01_q100,0.0003887962248008059,0.0,34.83
ca_kf_s0.01_q100,0.00042163840544957144,0.0,32.91679999999999
ca_kf_s0.01_q100,0.0004384236879599791,0.0,40.75
ca_kf_s0.01_q100,0.0004391776398674601,0.0,33.25
ca_kf_s0.01_q100,0.0004603943371245375,0.0,31.220479999999988
ca_kf_s0.01_q100,0.00046768699597589576,0.0,32.95700000000001
ca_kf_s0.01_q100,0.0005263394482931124,0.0,32.701840000000004
ca_kf_s0.01_q100,0.0005466744338664908,0.0,33.63136
ca_kf_s0.01_q100,0.000570979967728405,0.0,32.28441999999999
ca_kf_s0.01_q100,0.0006300628757760937,0.0,33.708
ca_kf_s0.01_q100,0.000704776685201024,0.0,33.33944
ca_kf_s0.01_q100,0.0008002318425336274,0.0,35.5155
ca_kf_s0.01_q100,0.0008315545344633236,0.0,32.291160000000005
ca_kf_s0.01_q100,0.0009401626057919154,0.0,32.58471999999998
ca_kf_s0.01_q100,0.0009966460303384383,0.0,33.518
ca_kf_s0.01_q100,0.0010295457345773618,0.0,40.669489999999996
ca_kf_s0.01_q100,0.0010431798908084298,0.0,34.268080000000005
ca_kf_s0.01_q100,0.0010631981221084867,0.0,32.54512
ca_kf_s0.01_q100,0.0010857625142019103,0.0,33.00308999999999
ca_kf_s0.01_q100,0.0011268289003128482,0.0,33.5355
ca_kf_s0.01_q100,0.0011988100683285484,0.0,32.65839999999999
ca_kf_s0.01_q100,0.0014947678739111283,0.0,33.10329
ca_kf_s0.01_q100,0.0015547423059042293,0.0,34.48267
ca_kf_s0.01_q100,0.0016844180915360487,0.0,32.39949
ca_kf_s0.01_q100,0.0019965008074308882,0.0,34.61205999999999
ca_kf_s0.01_q100,0.0020435475901418327,0.0,33.88844
ca_kf_s0.01_q100,0.002135026412487492,0.0,34.4795
ca_kf_s0.01_q100,0.002150204505928296,0.0,36.41471999999998
ca_kf_s0.01_q100,0.0023955720276830003,0.0,33.44551000000001
ca_kf_s0.01_q100,0.002812749523232121,0.0,33.0
ca_kf_s0.01_q100,0.0028785444422143027,0.0,33.499579999999995
ca_kf_s0.01_q100,0.002987837035240503,0.0,32.733200000000004
ca_kf_s0.01_q100,0.003400058303459411,0.0,32.62813999999998
ca_kf_s0.01_q100,0.003450541027986913,0.0,32.19238999999999
ca_kf_s0.01_q100,0.0035343084853033985,0.0,33.34987000000001
ca_kf_s0.01_q100,0.004019593835730629,0.0,32.21613999999998
ca_kf_s0.01_q100,0.004218919208152404,0.0,32.417
ca_kf_s0.01_q100,0.004302912835728757,0.0,33.216759999999994
ca_kf_s0.01_q100,0.01443798592714096,0.0,33.35023999999999
ca_kf_s0.01_q100,4.834878106491386e-05,0.0,33.098440000000004
ca_kf_s0.01_q100,6.271275306372666e-05,0.0,35.96196
ca_kf_s0.01_q100,6.97707657718558e-05,0.0,35.24056000000002
ca_kf_s0.01_q1000,0.00010420321605986532,0.0,31.448279999999986
ca_kf_s0.01_q1000,0.00011048782468889835,0.0,31.168599999999987
ca_kf_s0.01_q1000,0.000127569990495504,0.0,32.680440000000004
ca_kf_s0.01_q1000,0.0001312785540378137,0.0,32.14668000000002
ca_kf_s0.01_q1000,0.00013154953586530892,0.0,39.324190000000016
ca_kf_s0.01_q1000,0.00013399698850545305,0.0,34.01212000000001
ca_kf_s0.01_q1000,0.00013873420588359536,0.0,32.47124999999997
ca_kf_s0.01_q1000,0.00015383236184281915,0.0,35.61443999999998
ca_kf_s0.01_q1000,0.0001713449678839594,0.0,33.45125
ca_kf_s0.01_q1000,0.00018289854372845147,0.0,40.854839999999996
ca_kf_s0.01_q1000,0.00018508226151847418,0.0,32.47368000000001
ca_kf_s0.01_q1000,0.0001925857294896745,0.0,31.9838
ca_kf_s0.01_q1000,0.000202103366519572,0.0,31.8155
ca_kf_s0.01_q1000,0.00025186071429854237,0.0,33.1001
ca_kf_s0.01_q1000,0.0002710276450678402,0.0,40.206830000000004
ca_kf_s0.01_q1000,0.00027758259696149685,0.0,31.96597
